supermarket,product_category,month,year,city,sales
Sains,drinks,1,2023,Lancaster,590.05
Sains,home,1,2023,Stoke on Trent,909.23
Sains,health_products,1,2023,Liverpool,1169.75
Sains,pets,1,2023,Bangor,199.30000000000004
Sains,pets,1,2023,Swansea,145.35000000000002
ASDA,fresh_food,1,2023,Bangor,631.0299999999997
ASDA,food_cupboard,1,2023,Southampton,296.4899999999999
ASDA,health_products,1,2023,Derby,662.36
ASDA,frozen,1,2023,Plymouth,39.75
Tesco,pets,1,2023,Bath,23.55
Tesco,bakery,1,2023,Cardiff,25.04
Morrisons,drinks,1,2023,Aberdeen,614.03
Morrisons,pets,1,2023,St Davids,31.259999999999994
Aldi,fresh_food,1,2023,Bangor,159.00000000000006
Aldi,food_cupboard,1,2023,Durham,27.919999999999998
Aldi,fresh_food,1,2023,Lincoln,64.75000000000001
Aldi,fresh_food,1,2023,Truro,85.25999999999998
Sains,free-from,1,2023,Southend-on-Sea,184.79
Sains,frozen,1,2023,Liverpool,58.5
Sains,household,1,2023,Preston,178.35000000000002
Sains,frozen,1,2023,Lisburn,43.15
ASDA,fresh_food,1,2023,Exeter,227.99000000000004
Tesco,food_cupboard,1,2023,Dundee,329.94
Tesco,fresh_food,1,2023,Chester,196.94999999999996
Tesco,home,1,2023,Newcastle-upon-Tyne,824.67
Tesco,health_products,1,2023,Dundee,486.38999999999993
Tesco,baby_products,1,2023,Leicester,105.34999999999998
Morrisons,baby_products,1,2023,Stirling,86.92000000000002
Morrisons,fresh_food,1,2023,Canterbury,145.44000000000005
Morrisons,frozen,1,2023,Lichfield,40.67
Morrisons,bakery,1,2023,Lisburn,19.560000000000002
Morrisons,pets,1,2023,Winchester,61.53
Morrisons,pets,1,2023,Sheffield,73.07000000000001
Morrisons,health_products,1,2023,Preston,572.22
Morrisons,home,1,2023,Perth,444.52000000000004
Morrisons,drinks,1,2023,Southend-on-Sea,385.8
Morrisons,household,1,2023,Lichfield,129.60999999999999
Aldi,drinks,1,2023,Brighton & Hove,87.50000000000001
Aldi,health_products,1,2023,Bradford,14.8
Aldi,health_products,1,2023,Salford,3.35
Sains,fresh_food,1,2023,Hereford,270.7799999999999
Sains,bakery,1,2023,Nottingham,33.160000000000004
Sains,bakery,1,2023,Southend-on-Sea,23.49
Sains,pets,1,2023,Wrexham,94.24999999999999
ASDA,fresh_food,1,2023,Bristol,222.70999999999995
ASDA,pets,1,2023,Chester,73.30000000000001
ASDA,home,1,2023,Nottingham,1279.89
Tesco,home,1,2023,Southampton,593.19
Tesco,household,1,2023,Bristol,108.35
Tesco,baby_products,1,2023,Ely,74.6
Tesco,frozen,1,2023,Wrexham,44.3
Morrisons,food_cupboard,1,2023,Westminster,234.84999999999997
Morrisons,fresh_food,1,2023,Londonderry,131.89999999999998
Sains,health_products,1,2023,Belfast,1049.8400000000004
Sains,home,1,2023,Norwich,553.24
Sains,free-from,1,2023,Carlisle,163.9
Sains,health_products,1,2023,Worcester,1014.6999999999999
Sains,bakery,1,2023,Exeter,20.439999999999994
Sains,household,1,2023,Durham,293.73
Sains,fresh_food,1,2023,Londonderry,216.23
Sains,bakery,1,2023,Perth,12.750000000000002
ASDA,fresh_food,1,2023,Westminster,264.75
ASDA,fresh_food,1,2023,Lisburn,248.32999999999998
ASDA,baby_products,1,2023,Bristol,74.42000000000002
ASDA,baby_products,1,2023,Preston,109.27
Tesco,frozen,1,2023,Hereford,49.35
Tesco,food_cupboard,1,2023,Chester,361.25999999999993
Tesco,baby_products,1,2023,Preston,87.89999999999999
Tesco,household,1,2023,Norwich,105.29
Morrisons,food_cupboard,1,2023,London,237.1500000000001
Morrisons,drinks,1,2023,St Albans,437.6000000000001
Morrisons,home,1,2023,Newry,362.03
Morrisons,food_cupboard,1,2023,Newcastle-upon-Tyne,243.69000000000003
Morrisons,drinks,1,2023,St Asaph,440.58
Aldi,fresh_food,1,2023,Inverness,77.00999999999999
Aldi,bakery,1,2023,Hereford,8.55
Sains,free-from,1,2023,Lichfield,211.70000000000002
Sains,baby_products,1,2023,York,64.65
Sains,household,1,2023,Londonderry,209.70000000000002
Sains,drinks,1,2023,Inverness,594.0500000000001
Sains,frozen,1,2023,Swansea,40.379999999999995
Sains,household,1,2023,Bath,181.02
ASDA,drinks,1,2023,Ely,439.48999999999995
ASDA,food_cupboard,1,2023,Winchester,253.74
ASDA,health_products,1,2023,Wakefield,691.1800000000001
ASDA,health_products,1,2023,Brighton & Hove,781.5700000000003
ASDA,food_cupboard,1,2023,St Davids,228.18000000000006
ASDA,frozen,1,2023,Durham,12.9
Tesco,pets,1,2023,Sunderland,118.39000000000001
Morrisons,health_products,1,2023,Bristol,386.65999999999997
Morrisons,bakery,1,2023,Hereford,35.66
Aldi,health_products,1,2023,Winchester,9.879999999999999
Sains,health_products,1,2023,Lichfield,929.1
Sains,free-from,1,2023,Bath,195.44999999999993
ASDA,household,1,2023,Dunfermline,303.24
ASDA,fresh_food,1,2023,Portsmouth,297.80999999999995
ASDA,bakery,1,2023,Wrexham,48.5
ASDA,frozen,1,2023,Hereford,48.75
Tesco,frozen,1,2023,Salisbury,57.900000000000006
Morrisons,food_cupboard,1,2023,Exeter,219.11999999999995
Morrisons,food_cupboard,1,2023,Wolverhampton,241.44
Morrisons,baby_products,1,2023,Milton Keynes,94.89000000000001
Morrisons,baby_products,1,2023,St Davids,48.38999999999999
Morrisons,frozen,1,2023,Aberdeen,47.910000000000004
