supermarket,month,year,city,sales
ASDA,1,2023,Leeds,3405.3399999999974
Tesco,1,2023,Manchester,2592.159999999999
Tesco,1,2023,Westminster,2964.8599999999997
Sains,1,2023,Durham,3348.649999999998
Sains,1,2023,St Albans,3587.0999999999985
Tesco,1,2023,Stirling,3066.2599999999975
Aldi,1,2023,Stoke on Trent,216.36000000000004
Aldi,1,2023,Chelmsford,216.12999999999994
Morrisons,1,2023,Salisbury,1983.6100000000001
Aldi,1,2023,Chichester,242.72999999999996
Aldi,1,2023,York,228.28000000000003
Sains,1,2023,Milton Keynes,3660.599999999998
Tesco,1,2023,Newry,2667.1799999999985
Aldi,1,2023,Aberdeen,260.4800000000001
ASDA,1,2023,Derby,3541.369999999998
ASDA,1,2023,Wells,3805.6999999999953
ASDA,1,2023,Lancaster,3517.5699999999983
ASDA,1,2023,Sheffield,3217.8099999999986
ASDA,1,2023,Bangor,8035.029999999986
Tesco,1,2023,Chelmsford,3046.4399999999973
Morrisons,1,2023,Exeter,2140.150000000001
Aldi,1,2023,Cardiff,248.3100000000001
Sains,1,2023,Winchester,3651.0799999999995
Aldi,1,2023,Ripon,259.77000000000004
Sains,1,2023,Stoke on Trent,3411.579999999998
ASDA,1,2023,Lisburn,3134.3099999999986
Tesco,1,2023,Wakefield,2943.6399999999967
Sains,1,2023,London,3652.6999999999975
ASDA,1,2023,Southampton,3377.639999999997
Tesco,1,2023,Bradford,3124.999999999998
Morrisons,1,2023,Milton Keynes,2347.32
ASDA,1,2023,Edinburgh,3612.6699999999987
ASDA,1,2023,Plymouth,3861.079999999997
Aldi,1,2023,Bangor,505.8400000000005
Sains,1,2023,Oxford,3578.2600000000016
Sains,1,2023,Dundee,3549.9999999999977
Tesco,1,2023,Chester,2928.839999999996
Tesco,1,2023,Cardiff,3141.759999999998
Tesco,1,2023,Lichfield,2480.7999999999975
Aldi,1,2023,Peterborough,195.86
ASDA,1,2023,Norwich,3421.739999999996
Aldi,1,2023,Newry,268.83000000000004
Morrisons,1,2023,London,2038.7300000000005
Aldi,1,2023,Stirling,225.01999999999998
ASDA,1,2023,Dunfermline,3344.5099999999998
ASDA,1,2023,Glasgow,3069.839999999996
Aldi,1,2023,St Davids,261.7700000000001
Morrisons,1,2023,Leicester,2036.4200000000003
Morrisons,1,2023,Lincoln,1926.01
Aldi,1,2023,London,311.01000000000016
Aldi,1,2023,Southampton,215.73000000000013
Tesco,1,2023,Lisburn,2870.4600000000005
Tesco,1,2023,Salisbury,2540.0099999999975
Aldi,1,2023,Leeds,252.47000000000006
Aldi,1,2023,Bath,282.9300000000001
Sains,1,2023,Preston,3213.2900000000013
Sains,1,2023,Bangor,7202.759999999994
Sains,1,2023,York,3796.9799999999987
Tesco,1,2023,York,2745.4799999999996
Tesco,1,2023,Milton Keynes,2679.919999999999
Morrisons,1,2023,Carlisle,2169.6399999999994
ASDA,1,2023,Belfast,3650.479999999998
Tesco,1,2023,Ely,2965.8399999999983
ASDA,1,2023,Dundee,3645.8499999999985
Tesco,1,2023,Bristol,2465.5400000000004
Aldi,1,2023,Carlisle,237.54999999999998
Morrisons,1,2023,Truro,2730.8499999999976
Morrisons,1,2023,Glasgow,2099.0100000000007
ASDA,1,2023,Ripon,3492.449999999998
Sains,1,2023,Birmingham,3758.949999999998
ASDA,1,2023,Oxford,3696.649999999999
Tesco,1,2023,Liverpool,2621.96
Tesco,1,2023,Newcastle-upon-Tyne,2906.859999999997
Tesco,1,2023,Canterbury,2815.7699999999973
Morrisons,1,2023,Salford,2202.7200000000007
ASDA,1,2023,Hereford,2951.3600000000006
Aldi,1,2023,Nottingham,312.21
Sains,1,2023,Stirling,3269.959999999998
ASDA,1,2023,Nottingham,3807.0799999999986
Morrisons,1,2023,Edinburgh,2244.5900000000015
ASDA,1,2023,St Davids,3417.119999999998
Tesco,1,2023,Dunfermline,2843.229999999997
Morrisons,1,2023,Aberdeen,2208.98
Morrisons,1,2023,Ely,2146.4999999999995
Sains,1,2023,Doncaster,3518.979999999998
ASDA,1,2023,Perth,3465.5899999999997
Sains,1,2023,Chester,3434.4099999999994
Tesco,1,2023,Londonderry,2827.5199999999995
Sains,1,2023,Canterbury,3921.7099999999955
Aldi,1,2023,Manchester,225.12
Sains,1,2023,Plymouth,3590.9999999999986
Tesco,1,2023,Hereford,3002.5399999999986
Morrisons,1,2023,Lichfield,2229.3099999999995
Sains,1,2023,Londonderry,3554.5600000000004
ASDA,1,2023,Carlisle,3174.429999999997
Tesco,1,2023,Inverness,2781.679999999999
Sains,1,2023,Hereford,3623.549999999997
ASDA,1,2023,London,3593.749999999998
Sains,1,2023,Glasgow,3393.8799999999974
Morrisons,1,2023,Worcester,2187.230000000001
Sains,1,2023,Kingston-upon-Hull,3521.0099999999984
Sains,1,2023,St Davids,3218.189999999999
Sains,1,2023,Colchester,3702.3599999999974
Morrisons,1,2023,Sheffield,2326.4600000000005
Sains,1,2023,Chichester,3455.7399999999993
ASDA,1,2023,Peterborough,3240.0499999999984
Tesco,1,2023,Ripon,2507.64
Tesco,1,2023,Truro,2975.0799999999977
Sains,1,2023,Nottingham,3639.0299999999966
ASDA,1,2023,Swansea,3794.8699999999963
Sains,1,2023,Norwich,3288.1000000000017
Tesco,1,2023,Colchester,2914.3999999999983
ASDA,1,2023,Cambridge,3393.509999999997
Aldi,1,2023,Southend-on-Sea,235.35
Sains,1,2023,Newry,3648.689999999996
ASDA,1,2023,Sunderland,3816.5899999999974
ASDA,1,2023,Bradford,2891.4999999999986
Morrisons,1,2023,Colchester,2318.9200000000005
Sains,1,2023,Worcester,3504.250000000001
Morrisons,1,2023,Cambridge,2237.4600000000005
ASDA,1,2023,Ely,3431.8599999999974
Morrisons,1,2023,Southend-on-Sea,2126.09
Tesco,1,2023,Leicester,2676.629999999998
Aldi,1,2023,Norwich,350.18999999999994
Aldi,1,2023,Swansea,270.22000000000014
Morrisons,1,2023,Wells,2699.6299999999983
Aldi,1,2023,Glasgow,309.03000000000026
Tesco,1,2023,Kingston-upon-Hull,2479.830000000001
Aldi,1,2023,Preston,264.9300000000001
Sains,1,2023,Perth,3343.629999999998
Morrisons,1,2023,Wakefield,2360.839999999996
Tesco,1,2023,Coventry,2719.019999999998
Aldi,1,2023,Coventry,236.17000000000013
Sains,1,2023,Wakefield,3667.8799999999983
Morrisons,1,2023,Bangor,3967.9799999999914
ASDA,1,2023,Southend-on-Sea,3345.3700000000003
Sains,1,2023,Inverness,3786.6299999999956
Aldi,1,2023,Oxford,256.01
ASDA,1,2023,Coventry,2986.1099999999988
Aldi,1,2023,Truro,219.02000000000007
Tesco,1,2023,Belfast,2774.969999999998
Morrisons,1,2023,Nottingham,2078.8800000000006
Aldi,1,2023,Salford,237.92000000000002
