supermarket,date,month,year,product_category,item_count
Sains,2023-01-18,1,2023,health_products,332
Sains,2023-01-26,1,2023,food_cupboard,323
Sains,2023-01-28,1,2023,baby_products,39
Tesco,2023-01-12,1,2023,frozen,47
Morrisons,2023-01-02,1,2023,drinks,117
Morrisons,2023-01-07,1,2023,drinks,154
Morrisons,2023-01-25,1,2023,fresh_food,129
Aldi,2023-01-16,1,2023,bakery,12
Aldi,2023-01-06,1,2023,free-from,5
Sains,2023-01-16,1,2023,free-from,186
Sains,2023-01-22,1,2023,health_products,373
Sains,2023-01-18,1,2023,bakery,25
ASDA,2023-01-02,1,2023,drinks,162
ASDA,2023-01-12,1,2023,drinks,166
ASDA,2023-01-02,1,2023,pets,33
ASDA,2023-01-15,1,2023,frozen,33
ASDA,2023-01-07,1,2023,frozen,36
Tesco,2023-01-02,1,2023,baby_products,52
Tesco,2023-01-28,1,2023,baby_products,49
Morrisons,2023-01-01,1,2023,baby_products,34
Aldi,2023-01-08,1,2023,baby_products,5
Sains,2023-01-21,1,2023,bakery,33
ASDA,2023-01-16,1,2023,fresh_food,255
ASDA,2023-01-01,1,2023,drinks,163
Tesco,2023-01-17,1,2023,pets,36
Morrisons,2023-01-23,1,2023,pets,38
Aldi,2023-01-15,1,2023,health_products,13
Sains,2023-01-15,1,2023,household,101
Sains,2023-01-05,1,2023,baby_products,34
Tesco,2023-01-11,1,2023,health_products,261
Aldi,2023-01-04,1,2023,fresh_food,93
Aldi,2023-01-07,1,2023,household,13
Aldi,2023-01-13,1,2023,health_products,19
Sains,2023-01-06,1,2023,free-from,123
Morrisons,2023-01-17,1,2023,baby_products,33
Aldi,2023-01-14,1,2023,fresh_food,91
ASDA,2023-01-01,1,2023,fresh_food,221
Tesco,2023-01-15,1,2023,frozen,40
Tesco,2023-01-01,1,2023,bakery,26
Morrisons,2023-01-26,1,2023,drinks,130
Morrisons,2023-01-29,1,2023,pets,40
Morrisons,2023-01-18,1,2023,pets,47
Sains,2023-01-27,1,2023,free-from,158
Sains,2023-01-22,1,2023,food_cupboard,303
ASDA,2023-01-17,1,2023,frozen,32
Tesco,2023-01-29,1,2023,home,247
Aldi,2023-01-16,1,2023,drinks,39
Aldi,2023-01-03,1,2023,health_products,15
Aldi,2023-01-02,1,2023,baby_products,10
Sains,2023-01-12,1,2023,fresh_food,226
Sains,2023-01-24,1,2023,free-from,155
Sains,2023-01-11,1,2023,household,100
Sains,2023-01-06,1,2023,frozen,34
ASDA,2023-01-27,1,2023,fresh_food,220
ASDA,2023-01-18,1,2023,fresh_food,255
ASDA,2023-01-21,1,2023,household,107
ASDA,2023-01-09,1,2023,household,94
ASDA,2023-01-18,1,2023,frozen,24
Tesco,2023-01-15,1,2023,food_cupboard,336
Tesco,2023-01-06,1,2023,frozen,52
Tesco,2023-01-18,1,2023,fresh_food,187
Morrisons,2023-01-18,1,2023,baby_products,37
Morrisons,2023-01-15,1,2023,free-from,28
Morrisons,2023-01-07,1,2023,baby_products,36
Aldi,2023-01-11,1,2023,bakery,20
Aldi,2023-01-11,1,2023,household,28
Sains,2023-01-08,1,2023,household,118
Sains,2023-01-26,1,2023,drinks,159
Sains,2023-01-28,1,2023,frozen,33
Sains,2023-01-12,1,2023,bakery,32
Sains,2023-01-23,1,2023,baby_products,43
Tesco,2023-01-28,1,2023,food_cupboard,312
Aldi,2023-01-25,1,2023,bakery,14
Aldi,2023-01-25,1,2023,pets,8
Aldi,2023-01-27,1,2023,frozen,26
Aldi,2023-01-04,1,2023,frozen,26
Aldi,2023-01-11,1,2023,free-from,1
ASDA,2023-01-14,1,2023,free-from,37
