supermarket,product_category,month,year,city,sales
Sains,food_cupboard,12,2023,Westminster,289.27
Sains,drinks,12,2023,Gloucester,543.3400000000001
Sains,pets,12,2023,Newport,85.45
Sains,home,12,2023,Preston,699.3100000000001
Sains,bakery,12,2023,York,18.25
ASDA,health_products,12,2023,Inverness,863.2800000000004
ASDA,household,12,2023,Ely,379.68000000000006
Tesco,frozen,12,2023,Dundee,62.849999999999994
Tesco,fresh_food,12,2023,Salisbury,217.03999999999996
Morrisons,fresh_food,12,2023,Salisbury,109.41999999999999
Morrisons,food_cupboard,12,2023,Lichfield,201.53000000000011
Morrisons,bakery,12,2023,Preston,47.69
Morrisons,baby_products,12,2023,Newport,71.88
Morrisons,baby_products,12,2023,Lisburn,88.33
Morrisons,household,12,2023,Lisburn,104.24
Morrisons,free-from,12,2023,Newry,14.65
Aldi,drinks,12,2023,Newry,37.489999999999995
Aldi,health_products,12,2023,Lincoln,11.760000000000002
Aldi,health_products,12,2023,St Asaph,5.5
Aldi,health_products,12,2023,Liverpool,8.08
Sains,fresh_food,12,2023,York,286.49000000000007
Sains,free-from,12,2023,Leicester,181.3
ASDA,pets,12,2023,Salisbury,84.26
ASDA,food_cupboard,12,2023,Manchester,248.51000000000008
ASDA,pets,12,2023,Chichester,67.02
ASDA,bakery,12,2023,Canterbury,44.49999999999999
ASDA,free-from,12,2023,Milton Keynes,50.449999999999996
Tesco,bakery,12,2023,Brighton & Hove,22.6
Tesco,health_products,12,2023,Bristol,694.56
Tesco,fresh_food,12,2023,Stoke on Trent,229.29999999999993
Tesco,drinks,12,2023,Plymouth,330.5799999999999
Tesco,fresh_food,12,2023,Ripon,241.28999999999996
Tesco,pets,12,2023,Newcastle-upon-Tyne,63.89000000000001
Morrisons,household,12,2023,Southampton,63.57000000000001
Morrisons,pets,12,2023,Cambridge,43.230000000000004
Aldi,bakery,12,2023,Gloucester,4.07
Aldi,household,12,2023,Hereford,5.9799999999999995
Sains,frozen,12,2023,Armagh,34.8
Sains,frozen,12,2023,Bradford,54.489999999999995
ASDA,fresh_food,12,2023,Southampton,273.68999999999994
ASDA,drinks,12,2023,Norwich,520.8499999999999
ASDA,fresh_food,12,2023,Sheffield,236.62
ASDA,health_products,12,2023,Wolverhampton,775.58
ASDA,drinks,12,2023,Kingston-upon-Hull,453.67999999999995
ASDA,pets,12,2023,Coventry,67.04
ASDA,baby_products,12,2023,Aberdeen,94.84
Tesco,health_products,12,2023,Bradford,638.7300000000001
Tesco,bakery,12,2023,Nottingham,42.44
Tesco,frozen,12,2023,Peterborough,60.39000000000001
Tesco,frozen,12,2023,Southend-on-Sea,48.85
Morrisons,fresh_food,12,2023,Bath,142.44
Morrisons,food_cupboard,12,2023,Dunfermline,189.20000000000005
Morrisons,baby_products,12,2023,Chester,82.51999999999998
Morrisons,home,12,2023,Newcastle-upon-Tyne,735.8400000000001
Morrisons,fresh_food,12,2023,Worcester,134.51999999999998
Aldi,food_cupboard,12,2023,Lisburn,34.59
Aldi,bakery,12,2023,Leicester,1.9
Aldi,food_cupboard,12,2023,Winchester,28.209999999999994
Morrisons,pets,12,2023,Dunfermline,134.54
Sains,health_products,12,2023,Carlisle,1057.3999999999999
Sains,drinks,12,2023,Wakefield,439.64999999999986
Sains,fresh_food,12,2023,St Albans,276.96000000000004
Sains,bakery,12,2023,Manchester,21.55
Sains,pets,12,2023,Winchester,112.7
ASDA,health_products,12,2023,Durham,818.1100000000004
ASDA,bakery,12,2023,Westminster,46.0
ASDA,free-from,12,2023,Southend-on-Sea,58.85
Tesco,household,12,2023,Newry,79.44
Tesco,home,12,2023,Leeds,777.1500000000001
Tesco,bakery,12,2023,Dundee,18.55
Morrisons,food_cupboard,12,2023,London,203.88
Morrisons,bakery,12,2023,Southampton,20.52
Morrisons,drinks,12,2023,Cardiff,327.5800000000001
Morrisons,free-from,12,2023,Brighton & Hove,25.8
Morrisons,home,12,2023,Gloucester,478.3900000000001
Morrisons,frozen,12,2023,Liverpool,54.900000000000006
Morrisons,household,12,2023,Glasgow,110.21
Aldi,frozen,12,2023,Swansea,21.14
Sains,health_products,12,2023,Aberdeen,1168.4499999999998
Sains,pets,12,2023,Bristol,132.2
Sains,bakery,12,2023,Sunderland,41.03
Sains,baby_products,12,2023,Londonderry,55.93
ASDA,pets,12,2023,Nottingham,83.08
ASDA,free-from,12,2023,Liverpool,43.45
ASDA,household,12,2023,Bristol,255.41000000000003
ASDA,health_products,12,2023,Lichfield,665.86
ASDA,home,12,2023,Birmingham,1216.7200000000003
ASDA,baby_products,12,2023,Liverpool,124.99000000000001
Tesco,home,12,2023,Stoke on Trent,824.65
Tesco,pets,12,2023,Portsmouth,61.85
Tesco,bakery,12,2023,Bristol,63.04999999999999
Morrisons,food_cupboard,12,2023,Stirling,234.08999999999992
Morrisons,home,12,2023,London,624.5699999999999
Morrisons,household,12,2023,Lichfield,70.62
Morrisons,bakery,12,2023,Wakefield,21.82
Aldi,fresh_food,12,2023,Sunderland,109.29999999999997
Aldi,drinks,12,2023,Stoke on Trent,71.10999999999999
Aldi,frozen,12,2023,Southampton,28.25
Aldi,food_cupboard,12,2023,Portsmouth,21.750000000000004
Sains,fresh_food,12,2023,Lancaster,250.91
Sains,health_products,12,2023,Oxford,989.8
Sains,drinks,12,2023,Birmingham,648.64
Sains,baby_products,12,2023,Edinburgh,55.4
Sains,bakery,12,2023,Armagh,26.04
ASDA,drinks,12,2023,Manchester,596.02
ASDA,drinks,12,2023,Chichester,490.1
ASDA,baby_products,12,2023,Oxford,83.03
ASDA,bakery,12,2023,Leicester,52.54
ASDA,bakery,12,2023,Winchester,55.39000000000001
Tesco,baby_products,12,2023,Lincoln,146.4
Morrisons,drinks,12,2023,Oxford,425.02000000000004
Morrisons,health_products,12,2023,Armagh,512.81
Morrisons,food_cupboard,12,2023,St Asaph,229.56999999999996
Aldi,baby_products,12,2023,Derby,3.09
Sains,household,12,2023,Manchester,230.15
Sains,food_cupboard,12,2023,Derby,289.88
Sains,bakery,12,2023,Lisburn,19.099999999999998
Sains,baby_products,12,2023,Dunfermline,36.150000000000006
Sains,bakery,12,2023,Salisbury,14.35
Sains,frozen,12,2023,Worcester,53.89
ASDA,health_products,12,2023,Aberdeen,661.1400000000003
ASDA,home,12,2023,Cambridge,1010.9100000000001
ASDA,food_cupboard,12,2023,Truro,275.31999999999994
ASDA,free-from,12,2023,Ripon,23.000000000000004
Sains,frozen,12,2023,Canterbury,44.6
Tesco,drinks,12,2023,Bradford,665.59
Tesco,food_cupboard,12,2023,London,337.59000000000015
Tesco,drinks,12,2023,Stirling,386.58
Morrisons,health_products,12,2023,Doncaster,341.14
Morrisons,free-from,12,2023,Newport,25.0
Morrisons,pets,12,2023,Peterborough,84.82000000000001
Aldi,frozen,12,2023,Leeds,22.21
Aldi,bakery,12,2023,Milton Keynes,8.76
Sains,health_products,12,2023,Stirling,1058.4900000000002
Sains,food_cupboard,12,2023,Gloucester,248.93
Sains,health_products,12,2023,Chelmsford,1080.9999999999995
Sains,fresh_food,12,2023,Salford,263.61
Sains,health_products,12,2023,Leeds,857.6499999999999
Sains,household,12,2023,Bradford,293.61
Sains,pets,12,2023,Chester,123.39999999999999
Sains,bakery,12,2023,Doncaster,22.27
ASDA,drinks,12,2023,Milton Keynes,368.22
ASDA,fresh_food,12,2023,Newport,235.7400000000001
ASDA,drinks,12,2023,Plymouth,369.67
